Число валидных длин последовательностей: 5

Длина вектора: 270 элементов
(0.427799, -0.7478)
(-0.297926, -0.887927)
(-0.30876, 0.266513)
(0.307823, -0.851171)
(0.881806, 0.26497)
(-0.366741, 0.638988)
(-0.184088, -0.00671095)
(-0.908953, -0.935051)
(0.193577, -0.744612)
(0.5653, 0.256524)
(-0.940332, 0.0175349)
(-0.818417, 0.488728)
(0.972748, 0.880417)
(0.278738, 0.136362)
(0.750182, -0.231843)
(-0.575142, 0.373349)
(-0.584008, -0.758165)
(0.23411, -0.0256642)
(-0.681261, 0.641299)
(0.766331, 0.24679)
(0.145177, 0.973061)
(-0.5495, -0.267597)
(-0.643582, 0.815284)
(0.200688, -0.171998)
(0.0783712, 0.869814)
(0.271487, -0.828041)
(-0.0112583, 0.777888)
(-0.439932, -0.795878)
(0.72069, 0.242159)
(-0.561801, 0.950129)
(0.344071, 0.27061)
(0.298737, 0.0906829)
(-0.63971, 0.403328)
(-0.738245, -0.202797)
(0.42055, -0.822095)
(0.476142, 0.268845)
(-0.13869, -0.257366)
(-0.913887, 0.0911085)
(-0.854648, 0.65016)
(-0.614367, -0.289948)
(0.974199, 0.784341)
(0.258172, 0.986829)
(0.885557, -0.713542)
(-0.116055, 0.389491)
(-0.847485, 0.0297557)
(0.721405, 0.525192)
(0.716174, -0.420189)
(0.395339, 0.0492915)
(0.788598, -0.69723)
(-0.219789, 0.816697)
(0.149894, 0.166218)
(-0.884073, 0.465702)
(-0.842556, 0.126511)
(-0.517522, -0.340536)
(-0.501961, -0.626876)
(-0.967005, -0.684329)
(-0.680509, -0.0976887)
(0.775699, -0.339887)
(-0.166975, 0.934392)
(0.605789, -0.571052)
(0.340244, -0.421857)
(-0.702591, -0.412219)
(-0.687439, -0.234355)
(-0.250799, -0.887341)
(0.60377, 0.0227803)
(0.457896, 0.256412)
(-0.90752, -0.719444)
(0.626956, 0.879927)
(-0.885106, -0.59315)
(-0.238397, -0.987204)
(-0.687324, 0.578019)
(0.813881, -0.347015)
(0.367081, -0.47688)
(-0.552631, -0.685968)
(-0.168198, 0.842452)
(-0.156242, 0.587981)
(-0.762376, 0.308025)
(0.135136, 0.947754)
(0.271839, 0.987891)
(-0.842632, 0.268058)
(-0.770693, -0.376334)
(-0.184344, -0.202342)
(-0.533881, -0.161828)
(0.337798, -0.04382)
(-0.89003, 0.0397076)
(-0.92592, -0.489271)
(-0.856275, -0.56868)
(-0.36676, -0.0352454)
(0.327845, 0.818497)
(0.517248, 0.0680257)
(-0.225364, -0.144776)
(0.978978, -0.4138)
(0.953785, 0.991282)
(0.661282, 0.247231)
(0.901515, -0.842032)
(0.956703, 0.948686)
(-0.474757, -0.64709)
(0.878428, -0.475275)
(-0.517026, -0.34808)
